pond_id,af_mean_seas
301,
230,0.58
32,0.7
51,0.63
37,0.68
214,0.01
228,0.12
229,0.45
232,0.13
231,0.61
233,0.44
234,0.94
215,
217,0.13
116,0.37
79,0.02
111,1
300,0
422,0.72
308,0.71
15,0.02
42,0.12
526,0.23
527,0.26
528,0.22
529,0.13
505,0.25
83,0.06
701,0.57
700,0.86
304,0.35
310,0.53
333,
315,0.37
328,0.12
523,0.41
524,0.13
704,
707,
703,
706,
702,
705,
511,0.45
510,0.32
607,0.58
70,0.31
512,0.54
507,0.28
80,0.22
508,0.25
509,0.1
69,0.5
506,0.42
58,0.52
59,0.43
60,0.46
608,0.07
610,
611,
612,
613,
614,
302,0
303,0
317,0
319,0.03
324,0.28
331,0
339,0.13
338,0.32
325,0.04