date,pond_id,size_ac,mean_depth_ft,max_depth_ft,age,mean_imp,mean_builtyear,total_traffic_500m,percent_duckweed
24212,31,0.4,0.72,,19,50.78,1955,9001.98,10
24033,83,0.1,1.21,2.3,6,43.52,1953,16296.24,NA
24255,83,0.1,1.21,2.3,6,43.52,1953,16296.24,80
25056,54,0.36,2.62,3.45,21,15.23,1980,11104.75,NA
24047,103,4.76,3.49,,47,11.67,1931,20940.49,NA
24170,103,4.76,3.49,,47,11.67,1931,20940.49,15
24189,213,0.23,3.3,,12,24.22,1962,10611.87,25
24189,24,0.25,0.1,,,32.21,1933,5833.3,100
23297,505,4.09,3.6,6.4,17,40.63,1940,9212.88,0
23293,229,2.9,2,,30,27.17,1978,17121.99,10
25043,506,1.43,3.68,9.9,7,42.18,1936,9310.68,NA
24219,15,0.25,2.88,4.76,35,21.83,1968,10630.49,10
24190,426,3.38,2,,33,33.61,1948,12686.09,30
24213,572,10,10,,,30.56,1968,25322.79,10
24213,573,0.1,2.9,,,30.56,1968,24418.1,100
23249,37,2.89,4.03,5.42,57,26.26,1961,15052.15,100
24206,570,11.38,8.9,,100,9.28,1964,9939.22,0
25057,6,2.33,6.72,,21,24.25,1943,12392.93,NA
25051,58,0.46,1.48,6.2,22,42.55,1937,27360.39,NA
24170,32,0.8,4.49,5.91,13,24.17,1957,12285.77,80
24289,59,0.84,5.58,10.6,22,42.55,1937,30711.19,0
25051,70,0.23,1.39,,10,42.05,1930,42858.13,NA
24171,518,0.23,2.4,2.46,4,48.64,1946,95033.64,0
25056,16,2.16,3.95,5.25,21,45.89,1973,29490.16,NA
24220,324,7.06,4,,34,51.34,1967,22432.46,2
25056,575,10.9,,,,35.11,1965,22913.5,NA
24178,69,1.9,4.3,9.6,10,54.26,1960,62686.12,5
24177,507,0.1,1.55,3.9,10,54.26,1960,72809,0
24177,508,0.59,2.46,6.2,10,54.26,1960,84544.08,0
25056,81,0.54,1.57,2.3,9,48.18,1951,161689.8,NA
24276,339,4,7.51,,11,33.32,1956,109340.2,5
24184,48,0.17,2.23,,8,48.18,1951,117990.24,100
24275,424,2,,,8,48.18,1951,135836.44,15
24184,49,0.35,0.32,,8,48.18,1951,110634.14,20
24178,509,0.15,1.58,4.4,10,54.26,1960,14045.76,0
24050,100,0.3,1.02,,42,37.58,1965,161040.38,NA
24185,425,0.44,3.2,,5,48.82,1935,292161.88,50
24219,510,1.56,4.84,11,24,43.69,1945,330319.04,5
24299,574,2,16.4,,,46.46,1940,185989.94,5
24171,512,0.22,4.8,6.5,7,54.26,1960,368698.16,35