date,pond_id,water_depth,FILTER,date_analysis,SW_CONCENTRATION_Pb,PH
23249,37,SW,Y,4/24/24,0.156324698,6.95
25057,6,SW,Y,,0.061143684,
24219,15,SW,Y,9/26/24,NA,7.5
25051,70,SW,Y,,0.506832023,
24255,83,SW,Y,9/24/24,NA,6.28
23297,505,SW,Y,4/24/24,0.07996987,
24189,24,SW,Y,9/24/24,0.235265376,6.42
25056,81,SW,Y,,0.335471434,
24171,512,SW,Y,9/26/24,0.175174567,7.23
25056,16,SW,Y,,0.127052538,
25056,54,SW,Y,,0.300110979,
24177,507,SW,Y,1/28/25,0.391947084,9.53
24177,508,SW,Y,1/28/25,0.289808872,7.76
24178,509,SW,Y,1/28/25,0.545783744,8.63
24178,69,SW,Y,1/28/25,0.220430968,8.53
24184,49,SW,Y,9/26/24,0.377173304,6.97
25043,506,SW,Y,,0.091882591,
24047,103,SW,Y,1/28/25,0.369019141,7.13
24170,103,SW,Y,9/26/24,NA,7.34
24213,573,SW,Y,9/26/24,0.47339111,
24050,100,SW,Y,1/28/25,0.782051904,8.17
24213,572,SW,Y,9/26/24,NA,
24184,48,SW,Y,9/26/24,0.144967939,6.82
24189,213,SW,Y,9/24/24,0.108919842,6.97
24219,510,SW,Y,9/26/24,0.108742494,8.1
24206,570,SW,Y,9/26/24,0.175298378,7.95
24212,31,SW,Y,9/26/24,NA,
24171,518,SW,Y,9/24/24,0.187213315,7.99
23293,229,SW,Y,4/24/24,0.066115319,7.83
24275,424,SW,Y,12/10/24,NA,7.22
24220,324,SW,Y,9/24/24,0.174386121,7.44
24299,574,SW,Y,12/10/24,0.303985914,
24185,425,SW,Y,9/24/24,NA,7.42
24289,59,SW,Y,12/10/24,0.089646426,
25051,58,SW,Y,,0.364195088,
24170,32,SW,Y,9/24/24,0.226497358,7.03
24190,426,SW,Y,9/24/24,0.1539656,7.17
24276,339,SW,Y,12/10/24,0.072023821,7.99