date,pond_id,vegetation_type,sample_weight,veg_Pb_ppm
24219,15,agae,0.71,12.903
24177,507,agae,3,4.737
24177,508,agae,3.82,15.403
24178,69,agae,2.14,4.856
24213,572,agae,6.94,8.193
24189,213,agae,0.92,1.034
24212,31,agae,0.75,12.748
24171,518,agae,0.23,2.001
24219,15,duckweed,3.87,0.779
24221,83,duckweed,1.91,0.968
24171,512,duckweed,0.11,2.316
24184,49,duckweed,0.12,9.113
24213,573,duckweed,0.57,6.242
24213,572,duckweed,4.05,2.999
24184,48,duckweed,1.18,10.546
24189,213,duckweed,0.92,0.397
24212,31,duckweed,1.43,18.058
24275,424,duckweed,0.28,5.105
24299,574,duckweed,4.4,0.909
24220,425,duckweed,1.21,2.202
24190,426,duckweed,0.23,2.004
24170,32,duckweed,2.83,0.799
24276,339,duckweed,3.63,19.707